noise_level,wer_blur,wer_wiener,wer_restormer,wiener_gain_vs_blur,restormer_gain_vs_blur,restormer_vs_wiener
n_00,0.5265,0.3866,0.2608,-0.1399,-0.2657,-0.1258
n_01,0.5088,0.3937,0.2583,-0.1151,-0.2505,-0.1354
n_02,0.5192,0.3921,0.2665,-0.1271,-0.2527,-0.1256
n_03,0.5185,0.3884,0.2748,-0.1301,-0.2437,-0.1136
n_04,0.5233,0.3933,0.2870,-0.1300,-0.2363,-0.1063
n_05,0.5119,0.4040,0.3047,-0.1079,-0.2072,-0.0993
n_06,0.5198,0.4176,0.3212,-0.1022,-0.1986,-0.0964
n_07,0.5142,0.4192,0.3369,-0.0950,-0.1773,-0.0823
n_08,0.5250,0.4393,0.3505,-0.0857,-0.1745,-0.0888
n_09,0.5284,0.4767,0.3734,-0.0517,-0.1550,-0.1033
n_10,0.5257,0.4870,0.3971,-0.0387,-0.1286,-0.0899
